Features,gender_p-value,gender_beta,gender_q-value,age_p-value,age_beta,age_q-value,r2,f-test_pval,f-test_q-value
443.55_441.1615m/z,0.5187740506306127,-8480.367289311775,1.0,0.5859972341192966,7156.894699024133,1.0,0.001150195886191696,0.7187108136889486,1.0
501.63_441.1631m/z,0.9593537079755498,345.6894738046948,1.0,0.5689623469624161,3863.408364358759,1.0,0.0005821201946858423,0.8461004918590551,1.0
138.7_441.1852m/z,0.004519600434517339,3316.7389069048263,0.17760205581257218,0.1888906000156611,-1530.2773086103305,1.0,0.015957939345171424,0.009883731216078682,0.3463226938138014
360.7_441.2013m/z,0.362912127008411,-2099.598253266275,1.0,0.32980215463068296,-2248.659804787953,1.0,0.003364304890611458,0.3801522809217055,1.0
501.72_441.2087m/z,8.345359762244586e-05,6182.866695155739,0.007002009125788683,0.4600023620307102,-1153.408761555253,1.0,0.026917383824187513,0.0003971622323892126,0.028266125438616133
219.23_441.2119m/z,0.6480415588471752,-430.8036450358887,1.0,0.7288979444942494,-327.0335540456235,1.0,0.0006214864436439038,0.8365892593449504,1.0
189.62_441.2302m/z,0.9279626662373558,-1912.7504297212042,1.0,0.521244009219892,-13570.995852076663,1.0,0.000752772970931348,0.8056328186803126,1.0
256.64_441.2297m/z,0.20859578595402786,2854.877863223655,1.0,0.8805122354501244,341.0047164793658,1.0,0.002864610467202988,0.438970521318616,1.0
332.12_441.2734m/z,0.0027281436063544173,3114.4312911524607,0.11752561362715494,0.8741225498375731,-163.97586741122922,1.0,0.015550468632657743,0.011130688695104236,0.38081872912937526
423.95_441.273m/z,0.057654976049344386,-12712.393977280572,1.0,0.11300780179922981,10606.43601035764,1.0,0.009805418451372394,0.059128458548940506,1.0
450.79_441.2742m/z,0.28518344165133364,-15831.61423979241,1.0,0.23545568512490064,17574.2534988785,1.0,0.004101458421822857,0.30742038391874976,1.0
76.75_442.0536m/z,3.1197588346874874e-05,830.4584981592245,0.003157862514001353,0.7463712009548938,64.00206176629555,1.0,0.03051791027436357,0.00013706286875337991,0.01217533992415625
57.49_442.0708m/z,0.008525089450990564,784.361968907789,0.2986168931186887,0.14366181409001086,435.0480230396101,1.0,0.016795329773220735,0.00774120750600776,0.2883710410064372
296.15_442.0805m/z,0.5259323900963184,-1112.8456183507033,1.0,0.18810822010003356,2310.466739278227,1.0,0.0035009041240255945,0.36548779878687765,1.0
46.78_442.0939m/z,0.41787953036959835,-888.2654920048568,1.0,0.545432919738049,662.7725662361757,1.0,0.0016518664457403354,0.6222099737868922,1.0
288.02_442.0988m/z,0.8688819849506371,284.24031259652,1.0,0.15367163452968108,2458.3243761880867,1.0,0.00368060891171762,0.34705100601319233,1.0
90.79_442.106m/z,4.3904455620070836e-18,17728.62464468321,8.626097875973046e-15,0.4036125283704586,-1652.8055599766733,1.0,0.12281031593115055,4.6541351401496624e-17,8.925623039774951e-14
185.59_442.1448m/z,0.8238395261811127,-1581.8631870768083,1.0,0.20006108998002636,-9110.48314440364,1.0,0.003045342350971203,0.4167174779940668,1.0
82.21_442.1792m/z,0.010807688257963995,2010.916739495272,0.36035426201054466,0.6340836117633162,374.449489721522,1.0,0.012066026001809504,0.030684087750824835,0.839792121392709
228.55_442.1955m/z,0.9629541117526905,276.7525392023722,1.0,0.06563178541429555,10983.77552942808,1.0,0.005958813258603257,0.17991062892863366,1.0
236.6_442.1961m/z,0.5014031840983233,-12962.171859054693,1.0,0.040519333444632294,39553.94665165408,1.0,0.00773169539320151,0.10778472208224173,1.0
163.04_442.2059m/z,0.1986212543932657,10314.71581796289,1.0,0.4314442394776207,6308.876530575332,1.0,0.004262456539865567,0.2934818022291711,1.0
130.91_442.2066m/z,0.49477675715917935,-16304.523424676367,1.0,0.6405285794552393,11148.806765303721,1.0,0.0011090643012496848,0.7272550094195311,1.0
150.63_442.2063m/z,0.07496216194690952,30621.630690004433,1.0,0.40569877302983137,14281.098719591726,1.0,0.0071670828568367595,0.12689956074310862,1.0
300.13_442.2062m/z,0.3342185998115521,-2513.531605614424,1.0,0.275134666572978,2840.5343305721726,1.0,0.003417952632107202,0.37432433195666737,1.0
290.97_442.2061m/z,0.3606458032399359,-1654.6349022266184,1.0,0.2659501647862699,2013.6350427896605,1.0,0.0033406683696561856,0.38274861344899247,1.0
85.63_442.2063m/z,0.7949284242617878,3963.1923997631025,1.0,0.10753194625976577,-24563.323190763032,1.0,0.004535067929598791,0.27130142930353773,1.0
267.21_442.2222m/z,0.34769896669885547,7609.814715732006,1.0,0.3511885775800323,7553.776752143971,1.0,0.0033148982964680274,0.3855994426919823,1.0
186.48_442.2316m/z,0.7114849338628066,-1334.911158907516,1.0,0.49678614661018416,-2452.6505833460374,1.0,0.001121558088038932,0.7246490473657318,1.0
247.95_442.2425m/z,0.6226108417551046,-1385.0360214586458,1.0,0.15915863499864777,3964.6174026896797,1.0,0.0036988828043689193,0.3452289190307289,1.0
332.14_442.2767m/z,0.012438421173597735,800.5942213686441,0.40516683571760176,0.7352725278675073,107.99748362548735,1.0,0.011338239458754451,0.03790534666907951,0.9897587320399982
450.77_442.2774m/z,0.17476268243617055,-19955.069053276064,1.0,0.7771875728269597,-4157.416230117228,1.0,0.0034758956324517642,0.3681297504904564,1.0
176.32_443.0895m/z,0.09964180231083412,1839.1180269197703,1.0,0.1273495503553609,1702.370652877052,1.0,0.00948608293034725,0.06486150292055433,1.0
204.55_443.0859m/z,0.8040586259507446,-4642.021982236843,1.0,0.7791536125208849,-5246.105416457634,1.0,0.00026587602854410974,0.9265228544817812,1.0
231.76_443.0916m/z,0.10518904573450114,3771.439703462438,1.0,0.0953435699624749,-3882.0827137326933,1.0,0.008664023228873385,0.08229794323897044,1.0
264.33_443.1151m/z,0.0777618451950713,1846.42446153255,1.0,0.2302523701035293,-1254.796416679629,1.0,0.007345632013111891,0.12051542408055017,1.0
366.39_443.1281m/z,0.8039573903225377,1008.8614466243474,1.0,0.48626542268234463,-2829.8856662693574,1.0,0.0009092742681725552,0.7702189685507523,1.0
327.27_443.1292m/z,0.7300264624700363,1973.4815355476674,1.0,0.826921962739397,-1250.1885556573936,1.0,0.00027136132368321686,0.9250650045830633,1.0
337.46_443.1282m/z,0.3150485904569488,1257.8811002358748,1.0,0.9617529107376606,-60.004133744314686,1.0,0.0017605014161630184,0.6030777282212152,1.0
380.22_443.1309m/z,0.29885388996080003,-7756.982457971658,1.0,0.28446014583979656,7990.954853606103,1.0,0.0035786602394471956,0.35739357189943555,1.0
241.04_443.1491m/z,0.24984240486102643,-6698.350031569232,1.0,0.9959323426220645,29.654213662493994,1.0,0.002319978972612824,0.5134474857150642,1.0
189.44_443.1642m/z,0.03161878483603125,2256.417433858755,0.8590252695537616,1.6738345926874115e-05,4546.135492787188,0.11984194767320097,0.04201866898500839,4.4614097909617825e-06,0.000710885732601394
145.95_443.2009m/z,0.125201708940289,7327.3041409217585,1.0,0.0813100877633505,8331.349656781114,1.0,0.010143526276818804,0.05360796994203016,1.0
